2021-07-01	18:54:01	95.99	 99.99
2021-07-01	21:10:24	99.99	 99.99
2021-07-01	21:11:15	99.99	 99.99
2021-07-01	21:44:58	99.99	 99.99
2021-07-02	00:19:41	99.99	 99.99
2021-07-02	00:59:53	99.99	 99.99
2021-07-02	01:03:39	99.99	 99.99
2021-07-02	01:33:37	99.99	 99.99
2021-07-02	01:52:12	99.99	 99.99
2021-07-02	01:56:17	99.99	 99.99
2021-07-02	01:58:13	99.99	 99.99
2021-07-02	02:04:38	99.99	 99.99
2021-07-02	02:04:55	99.99	 99.99
2021-07-02	02:05:17	99.99	 99.99
2021-07-02	02:35:11	99.99	 99.99
2021-07-02	03:05:11	99.99	 99.99
2021-07-02	03:35:11	99.99	 99.99
2021-07-02	04:05:11	99.99	 99.99
2021-07-02	04:35:11	99.99	 99.99
2021-07-02	04:54:58	101.0	 101.0
2021-07-02	04:59:28	101.0	 99.99
2021-07-02	05:00:15	101.0	 99.99
2021-07-02	05:30:11	101.0	 99.99
2021-07-02	06:00:11	101.0	 99.99
2021-07-02	06:30:11	101.0	 99.99
2021-07-02	07:00:11	101.0	 99.99
2021-07-02	07:30:11	101.0	 99.99
2021-07-02	08:00:11	101.0	 99.99
2021-07-02	08:30:11	101.0	 99.99
2021-07-03	04:08:51	111.0	 109.99
2021-07-03	04:38:45	111.0	 109.99
2021-07-04	03:12:15	99.99	 109.99
2021-07-04	04:05:39	97.99	 109.99
2021-07-04	04:10:18	97.99	 109.99
2021-07-04	04:40:15	97.99	 109.99
2021-07-04	04:53:27	99.99	 109.99
2021-07-04	04:54:03	99.99	 109.99
2021-07-04	06:10:37	103.99	 109.99
2021-07-04	06:11:35	103.99	 109.99
2021-07-04	06:12:35	103.99	 109.99
2021-07-04	06:13:35	103.99	 109.99
2021-07-04	06:14:35	103.99	 109.99
2021-07-04	06:21:41	103.99	 109.99
2021-07-04	06:22:54	103.99	 109.99
2021-07-04	06:52:52	103.99	 109.99
2021-07-04	07:22:52	103.99	 109.99
2021-07-04	07:52:52	103.99	 109.99
2021-07-04	08:22:52	103.99	 109.99
2021-07-04	08:49:10	103.99	 109.99
2021-07-04	09:19:10	105.99	 109.99
2021-07-04	17:15:56	99.99	 109.99
2021-07-04	17:16:56	99.99	 109.99
2021-07-04	17:17:56	99.99	 109.99
2021-07-04	17:18:56	99.99	 109.99
2021-07-04	17:20:31	99.99	 109.99
2021-07-04	17:35:31	101.99	 109.99
2021-07-04	17:50:31	103.99	 109.99
2021-07-04	18:05:31	103.99	 109.99
2021-07-04	18:20:31	103.99	 109.99
